,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title
6370,Latina,96.0,3,2.0,1,218000,1.0,1.0,1.0,1,"Campamento, Latina, Madrid"
6371,Lucero,61.0,3,1.0,1,150000,0.0,1.0,1.0,0,"calle Almazán, 19, Lucero, Madrid"
6372,Aluche,66.0,2,1.0,2,130000,1.0,1.0,0.0,0,"calle los Yébenes, Aluche, Madrid"
6374,Puerta del Ángel,95.0,3,1.0,2,159999,0.0,1.0,0.0,0,"calle Vicente Camarón, Puerta del Ángel, Madrid"
6376,Águilas,80.0,3,1.0,3,155000,0.0,1.0,1.0,0,"calle de Blas Cabrera, 115, Águilas, Madrid"
6379,Campamento,102.0,4,1.0,1,220000,1.0,1.0,1.0,1,"calle Villacarriedo, 13, Campamento, Madrid"
6380,Águilas,94.0,3,2.0,2,260000,1.0,1.0,1.0,0,"avenida de Las Águilas, 4, Águilas, Madrid"
6382,Puerta del Ángel,63.0,2,1.0,1,125000,0.0,1.0,0.0,0,"calle Vicente Camarón, Puerta del Ángel, Madrid"
6383,Águilas,60.0,2,1.0,3,140000,0.0,1.0,1.0,0,"calle de Fray José Cerdeiriña, 62, Águilas, Madrid"
6384,Los Cármenes,81.0,2,2.0,0,166000,0.0,1.0,0.0,0,"Dúplex en venta en Av. de Ntra. Sra. de Valvanera, Los Cármenes, Madrid"
6385,Águilas,80.0,3,1.0,2,189000,1.0,1.0,1.0,0,"calle de José de Cadalso, Águilas, Madrid"
6386,Águilas,120.0,3,1.0,3,269000,1.0,1.0,1.0,0,"Valle Inclán, Águilas, Madrid"
6387,Puerta del Ángel,55.0,1,1.0,1,180000,1.0,1.0,0.0,0,"paseo DE JESUITAS, Puerta del Ángel, Madrid"
6388,Puerta del Ángel,50.0,3,1.0,4,100000,0.0,1.0,1.0,0,"SANTA AUREA, Puerta del Ángel, Madrid"
6389,Puerta del Ángel,260.0,4,3.0,8,899000,1.0,1.0,0.0,1,"paseo Marqués de Monistrol, 7, Puerta del Ángel, Madrid"
6390,Águilas,50.0,2,1.0,0,139000,0.0,1.0,0.0,0,"calle de la Aviación Española, Águilas, Madrid"
6391,Aluche,64.0,3,1.0,0,99900,0.0,1.0,0.0,0,"Maqueda, Aluche, Madrid"
6392,Lucero,67.0,3,1.0,4,238000,1.0,1.0,1.0,0,"calle de Cebreros, 81, Lucero, Madrid"
6393,Puerta del Ángel,117.0,2,1.0,0,200000,1.0,1.0,0.0,0,"Dúplex en venta en avenida de Portugal, Madrid, Puerta del Ángel, Madrid"
6394,Latina,100.0,3,2.0,0,270000,0.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6395,Latina,47.0,2,1.0,4,195000,1.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6396,Lucero,78.0,3,1.0,1,179000,1.0,1.0,0.0,0,"paseo de Extremadura, 163, Lucero, Madrid"
6397,Aluche,80.0,3,1.0,4,185000,1.0,1.0,0.0,0,"calle De Escalona, 6, Aluche, Madrid"
6398,Aluche,70.0,3,1.0,3,169000,1.0,1.0,0.0,0,"calle de Tembleque, 89, Aluche, Madrid"
6399,Aluche,130.0,3,2.0,5,360000,1.0,1.0,1.0,1,"calle de nuestra señora de la luz, 120, Aluche, Madrid"
6400,Aluche,107.0,4,2.0,2,230000,1.0,1.0,1.0,0,"MAQUEDA, Aluche, Madrid"
6401,Lucero,60.0,2,1.0,4,185000,0.0,1.0,0.0,0,"San Eusebio, Lucero, Madrid"
6402,Lucero,77.0,3,1.0,5,199000,0.0,1.0,1.0,0,"calle de Cebreros, 112, Lucero, Madrid"
6403,Lucero,59.0,2,1.0,2,158900,0.0,1.0,0.0,0,"Sepúlveda, Lucero, Madrid"
6404,Aluche,75.0,3,1.0,1,138000,0.0,1.0,0.0,0,"VALMOJADO, Aluche, Madrid"
6405,Puerta del Ángel,61.0,3,1.0,3,210000,0.0,1.0,0.0,0,"calle María del Carmen, 31, Puerta del Ángel, Madrid"
6406,Aluche,88.0,3,1.0,5,190000,1.0,1.0,1.0,0,"avenida del Padre Piquer, 13, Aluche, Madrid"
6407,Águilas,70.0,2,1.0,2,200000,1.0,1.0,0.0,1,"calle Faustino Cordón Bonet, 4 -22, Águilas, Madrid"
6408,Aluche,75.0,1,1.0,0,175000,0.0,1.0,1.0,0,"paseo de Extremadura, 411, Aluche, Madrid"
6409,Aluche,65.0,2,1.0,4,129000,0.0,1.0,1.0,0,"Camarena, Aluche, Madrid"
6410,Aluche,67.0,2,1.0,0,120000,0.0,1.0,1.0,0,"Valmojado, Aluche, Madrid"
6411,Lucero,53.0,2,1.0,2,129000,0.0,1.0,0.0,0,"castuera, Lucero, Madrid"
6412,Águilas,115.0,4,2.0,6,215000,1.0,1.0,0.0,0,"calle Rafael Finat, Águilas, Madrid"
6413,Puerta del Ángel,80.0,2,2.0,1,240000,1.0,1.0,1.0,1,"paseo de Extremadura, Puerta del Ángel, Madrid"
6414,Águilas,67.0,3,1.0,2,135000,0.0,1.0,0.0,1,"plaza armilla, Águilas, Madrid"
6415,Lucero,54.0,2,1.0,2,129000,0.0,1.0,1.0,0,"calle Castuera, Lucero, Madrid"
6416,Puerta del Ángel,75.0,3,1.0,1,172000,0.0,1.0,0.0,0,"paseo de los JESUITAS, Puerta del Ángel, Madrid"
6417,Lucero,93.0,3,1.0,2,219000,1.0,1.0,0.0,0,"calle San Roberto, Lucero, Madrid"
6418,Latina,110.0,4,2.0,1,235000,0.0,1.0,0.0,0,"Lucero, Latina, Madrid"
6419,Aluche,53.0,2,1.0,3,117000,1.0,1.0,0.0,0,"calle de León V de Armenia, Aluche, Madrid"
6420,Aluche,96.0,4,2.0,4,265000,1.0,1.0,1.0,0,"calle Ocaña, Aluche, Madrid"
6421,Aluche,75.0,2,1.0,5,139000,1.0,1.0,1.0,0,"calle Valmojado, Aluche, Madrid"
6422,Puerta del Ángel,104.0,3,3.0,1,350000,1.0,1.0,0.0,0,"calle ANTONIO ZAMORA, Puerta del Ángel, Madrid"
6423,Aluche,120.0,4,2.0,8,290000,1.0,1.0,1.0,1,"calle de Seseña, Aluche, Madrid"
6424,Puerta del Ángel,70.0,2,1.0,2,150000,0.0,1.0,0.0,0,"paseo Olivos, Puerta del Ángel, Madrid"
6425,Lucero,63.0,2,1.0,2,139000,0.0,1.0,0.0,0,"calle del Lucero, Lucero, Madrid"
6426,Campamento,65.0,3,1.0,1,126000,0.0,1.0,1.0,0,"calle Azor, Campamento, Madrid"
6427,Latina,71.0,3,1.0,4,170000,0.0,1.0,1.0,0,"Aluche, Latina, Madrid"
6428,Aluche,122.0,3,2.0,8,380000,1.0,1.0,0.0,1,"calle de Nuestra Señora de la Luz, 120, Aluche, Madrid"
6429,Latina,80.0,3,1.0,2,198000,1.0,1.0,0.0,0,"Águilas, Latina, Madrid"
6430,Latina,130.0,4,2.0,9,385000,1.0,1.0,0.0,0,"Los Cármenes, Latina, Madrid"
6431,Latina,80.0,3,1.0,3,205000,1.0,1.0,1.0,0,"Águilas, Latina, Madrid"
6433,Lucero,80.0,3,1.0,1,147500,1.0,1.0,1.0,0,"ALHAMBRA, Lucero, Madrid"
6437,Aluche,75.0,3,1.0,5,185000,1.0,1.0,0.0,1,"calle de Camarena, 191, Aluche, Madrid"
6438,Puerta del Ángel,80.0,2,1.0,1,152000,0.0,1.0,0.0,0,"calle de Ampelido, 11, Puerta del Ángel, Madrid"
6439,Campamento,70.0,3,1.0,3,198000,1.0,1.0,0.0,0,"calle Sedano, 7, Campamento, Madrid"
6440,Puerta del Ángel,26.0,0,1.0,2,99900,0.0,1.0,1.0,0,"Estudio en venta en calle de Pericles, Puerta del Ángel, Madrid"
6441,Aluche,84.0,3,1.0,1,270000,1.0,1.0,1.0,1,"calle los Yébenes, 225, Aluche, Madrid"
6442,Lucero,53.0,2,1.0,2,129000,0.0,1.0,0.0,0,"calle Castuera, Lucero, Madrid"
6443,Los Cármenes,270.0,3,2.0,0,315000,0.0,0.0,0.0,0,"SAN AMBROSIO, Los Cármenes, Madrid"
6444,Puerta del Ángel,72.0,3,1.0,3,139000,0.0,1.0,0.0,0,"calle Vicente Camarón, 45, Puerta del Ángel, Madrid"
6446,Puerta del Ángel,55.0,1,1.0,2,140000,1.0,1.0,0.0,0,"calle María del Carmen, Puerta del Ángel, Madrid"
6447,Lucero,79.0,4,1.0,1,170000,1.0,1.0,0.0,0,"paseo de Extremadura, 157, Lucero, Madrid"
6448,Aluche,160.0,4,2.0,4,418000,1.0,0.0,1.0,1,"calle los Yébenes, 80, Aluche, Madrid"
6449,Águilas,89.0,3,1.0,1,180000,1.0,1.0,1.0,0,"calle de Oliva de Plasencia, 25, Águilas, Madrid"
6450,Campamento,62.0,3,1.0,0,126000,0.0,1.0,0.0,0,"Azor, Campamento, Madrid"
6451,Puerta del Ángel,73.0,3,1.0,3,195000,0.0,1.0,0.0,0,"calle de la Industria, 2, Puerta del Ángel, Madrid"
6452,Campamento,90.0,3,2.0,1,265000,1.0,1.0,1.0,0,"calle Villaviciosa, 5, Campamento, Madrid"
6453,Lucero,81.0,2,1.0,6,230000,1.0,1.0,1.0,0,"VILLAMANIN, Lucero, Madrid"
6454,Lucero,103.0,3,1.0,0,185000,1.0,1.0,1.0,0,"San Juan de Mata, Lucero, Madrid"
6455,Campamento,64.0,3,1.0,0,165000,0.0,1.0,1.0,0,"calle Mingorría, Campamento, Madrid"
6456,Puerta del Ángel,64.0,2,1.0,0,150000,1.0,1.0,0.0,0,"calle Santa Infancia, Puerta del Ángel, Madrid"
6457,Los Cármenes,89.0,4,1.0,5,154000,1.0,1.0,0.0,0,"Dúplex en venta en GALLUR, Los Cármenes, Madrid"
6458,Puerta del Ángel,65.0,3,1.0,2,148270,0.0,1.0,1.0,0,"paseo DE LOS OLIVOS, Puerta del Ángel, Madrid"
6460,Puerta del Ángel,65.0,2,1.0,0,189000,0.0,1.0,1.0,0,"calle Mariano Carderera, Puerta del Ángel, Madrid"
6462,Aluche,65.0,2,1.0,3,110000,0.0,1.0,1.0,0,"Picaza, Aluche, Madrid"
6464,Los Cármenes,80.0,2,1.0,3,248000,1.0,1.0,1.0,1,"calle Concejal Francisco José Jiménez Martín, Los Cármenes, Madrid"
6467,Águilas,82.0,3,1.0,0,167000,1.0,1.0,0.0,0,"Serradilla, Águilas, Madrid"
6469,Los Cármenes,100.0,3,2.0,0,130000,0.0,1.0,0.0,0,"calle Ramón Azorín, Los Cármenes, Madrid"
6470,Lucero,77.0,3,1.0,2,149000,1.0,1.0,0.0,0,"calle Sepulveda, Lucero, Madrid"
6471,Puerta del Ángel,40.0,1,1.0,1,155000,0.0,0.0,0.0,0,"jaime vera, Puerta del Ángel, Madrid"
6472,Aluche,67.0,2,1.0,4,210000,0.0,1.0,0.0,0,"calle de Ocaña, Aluche, Madrid"
6473,Lucero,67.0,2,1.0,4,155000,0.0,1.0,0.0,0,"paseo Extremadura, 256, Lucero, Madrid"
6474,Aluche,96.0,4,2.0,2,270000,1.0,1.0,0.0,0,"calle De Escalona, Aluche, Madrid"
6475,Águilas,77.0,3,1.0,1,196000,1.0,1.0,0.0,0,"calle de Soledad Cazorla, Águilas, Madrid"
6477,Puerta del Ángel,74.0,3,1.0,3,229900,1.0,1.0,1.0,0,"calle Santa Infancia, Puerta del Ángel, Madrid"
6478,Puerta del Ángel,95.0,2,1.0,0,199000,0.0,1.0,0.0,0,"calle de Barrafon, Puerta del Ángel, Madrid"
6479,Aluche,59.0,3,1.0,0,145000,1.0,1.0,0.0,0,"Ocaña, 135, Aluche, Madrid"
6480,Puerta del Ángel,57.0,2,1.0,3,134000,0.0,1.0,0.0,0,"calle Sepúlveda, Puerta del Ángel, Madrid"
6481,Aluche,130.0,4,2.0,1,420000,1.0,1.0,1.0,1,"calle Valmojado, Aluche, Madrid"
6482,Águilas,100.0,3,2.0,6,300000,1.0,1.0,0.0,1,"BLAS CABRERA, Águilas, Madrid"
6483,Águilas,117.0,4,2.0,3,365000,1.0,1.0,1.0,1,"calle Rafael Finat, Madrid, Águilas, Madrid"
6484,Águilas,80.0,2,1.0,0,250000,1.0,1.0,0.0,1,"navia, Águilas, Madrid"
6485,Latina,79.0,3,1.0,6,190000,1.0,1.0,1.0,1,"Águilas, Latina, Madrid"
6486,Lucero,63.0,3,1.0,0,134000,0.0,1.0,1.0,0,"paseo de Extremadura, 244, Lucero, Madrid"
6487,Lucero,93.0,3,1.0,3,250000,1.0,1.0,0.0,0,"calle de Villagarcía, 2, Lucero, Madrid"
6488,Lucero,90.0,3,1.0,1,210000,1.0,1.0,0.0,1,"calle Carlina, 8, Lucero, Madrid"
6489,Los Cármenes,81.0,1,1.0,3,222000,1.0,1.0,1.0,0,"Ático en venta en calle del Ansar, Los Cármenes, Madrid"
