,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
16218,Guindalera,160.0,5,2.0,1,565000,1.0,1.0,1.0,0,"avenida de los Toreros, 4, Guindalera, Madrid",27.634754625905067,43.64675984752223,15.961895910780669,5.572680077871512
16219,Castellana,306.0,5,5.0,7,2350000,1.0,1.0,0.0,0,"calle de Serrano, Castellana, Madrid",113.79726468222043,179.73316391359594,65.72955390334573,22.94776119402985
16220,Recoletos,233.0,4,4.0,5,1685000,1.0,1.0,0.0,0,"calle de Castelló, Recoletos, Madrid",81.69750603378922,129.03430749682337,47.188661710037174,16.47469175859831
16221,Castellana,377.0,5,4.0,1,3500000,1.0,1.0,1.0,0,"calle Serrano, Castellana, Madrid",169.30812550281576,267.4078780177891,97.79275092936803,34.14179104477612
16222,Recoletos,471.0,6,4.0,6,4200000,1.0,1.0,0.0,1,"calle de Velázquez, Recoletos, Madrid",203.09734513274336,320.7750952986023,117.30947955390334,40.95554834523037
16223,Barrio de Salamanca,79.0,1,1.0,4,370000,1.0,1.0,1.0,0,"Guindalera, Barrio de Salamanca, Madrid",18.22204344328238,28.780177890724268,10.525092936802974,3.674561972744971
16224,Goya,198.0,5,3.0,5,785000,1.0,1.0,1.0,0,"DOCTOR ESQUERDO, Goya, Madrid",38.25422365245374,60.41931385006353,22.095724907063197,7.714146658014276
16225,Lista,99.0,2,2.0,2,625000,1.0,1.0,0.0,0,"calle del General Pardiñas, Lista, Madrid",30.530973451327434,48.221092757306224,17.63475836431227,6.156716417910448
16226,Lista,108.0,3,2.0,1,580000,1.0,1.0,1.0,1,"calle de Agustina de Aragón, Lista, Madrid",28.35880933226066,44.790343074968234,16.380111524163567,5.718689162881246
16227,Guindalera,54.0,2,1.0,7,312000,1.0,1.0,0.0,0,"Ático en venta en calle Ardemans, Guindalera, Madrid",15.422365245374095,24.358322744599747,8.907992565055762,3.109993510707333
16228,Barrio de Salamanca,70.0,2,2.0,2,580000,1.0,0.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",28.35880933226066,44.790343074968234,16.380111524163567,5.718689162881246
16229,Barrio de Salamanca,270.0,4,3.0,2,1970000,1.0,1.0,0.0,0,"Recoletos, Barrio de Salamanca, Madrid",95.45454545454545,150.76238881829732,55.13475836431227,19.248864373783256
16230,Barrio de Salamanca,73.0,1,1.0,1,279000,1.0,1.0,0.0,0,"Guindalera, Barrio de Salamanca, Madrid",13.829444891391795,21.84243964421855,7.987918215613383,2.788773523685918
16231,Guindalera,120.0,4,2.0,3,475000,1.0,0.0,1.0,0,"avenida de América, 10, Guindalera, Madrid",23.29042638777152,36.785260482846255,13.452602230483272,4.696625567813109
16232,Castellana,45.0,1,1.0,4,335000,1.0,1.0,0.0,0,"calle de Castelló, 117, Castellana, Madrid",16.532582461786003,26.11181702668361,9.549256505576208,3.3338741077222585
16233,Barrio de Salamanca,95.0,2,2.0,7,750000,1.0,0.0,1.0,1,"Ático en venta en Castellana, Barrio de Salamanca, Madrid",36.564762670957364,57.750952986022874,21.119888475836433,7.373458792991564
16234,Barrio de Salamanca,43.0,2,2.0,5,325000,1.0,0.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",16.049879324215606,25.34942820838628,9.270446096654275,3.236534717715769
16235,Goya,350.0,5,5.0,8,2600000,1.0,1.0,1.0,0,"Ático en venta en alcalá, Goya, Madrid",125.86484312148029,198.79288437102923,72.69981412639405,25.381245944192084
16236,Lista,80.0,2,2.0,0,440000,1.0,1.0,1.0,0,"General diaz porlier, Lista, Madrid",21.60096540627514,34.11689961880559,12.476765799256505,4.355937702790396
